team,season,pressure_rate_forced,hurry_rate_forced,hit_rate_forced
GB,2018,0.2357022867045875,0.121218318876645,0.040406106292215
GB,2019,0.2264162411022526,0.07749817648466364,0.07749817648466364
GB,2020,0.20334131605984976,0.06679094323133751,0.06827518641425613
GB,2021,0.23009268887099849,0.09232114059638828,0.07669756295699949
GB,2022,0.23499308655052945,0.07707773238857366,0.09399723462021178
GB,2023,0.2014218593045641,0.062082079922639616,0.07173929235505022
GB,2024,0.213741732808076,0.07772426647566401,0.06576668701786954
GB,2025,0.24804936579311956,0.08869643988966093,0.10372973478621364
HOU,2018,0.2375807146201316,0.11596201546934995,0.06080934957539083
HOU,2019,0.19610131177996198,0.07816625714306177,0.07268090576460129
HOU,2020,0.21601709621437906,0.0765414907846225,0.08334517885436672
HOU,2021,0.19434017969563386,0.07706593332757894,0.06366316231408696
HOU,2022,0.1941938313146123,0.05741382838866798,0.07092296448011927
HOU,2023,0.2331404697050277,0.06522382188176369,0.09436638059489215
HOU,2024,0.2358692403257225,0.06843119935375899,0.08590299493344215
HOU,2025,0.21213166023038083,0.06393008938449833,0.06683600253833916
IND,2018,0.2047481233439232,0.09601980956818468,0.04518579273796926
IND,2019,0.21624450864649034,0.0913032369840737,0.059267013480889946
IND,2020,0.22540268639952343,0.09702764646337102,0.0656802529905896
IND,2021,0.17247077941226957,0.04426241241553821,0.07784079424801547
IND,2022,0.2127856967236973,0.07917607319951527,0.061031556424626356
IND,2023,0.19593338131066532,0.04043069773077221,0.07619631495414762
IND,2024,0.2205366339390856,0.08161591964674822,0.07640639286078556
IND,2025,0.2320515045271574,0.09607227894436453,0.07833585821617416
JAX,2018,0.2628271072775182,0.11758054799257393,0.08126890817133786
JAX,2019,0.27078931790120325,0.09026310596706776,0.0989422507715935
JAX,2020,0.20021079963517693,0.0678975755284513,0.1027168450302212
JAX,2021,0.22874480815591075,0.09350152742139417,0.0818138364937199
JAX,2022,0.2417272777349991,0.07211753037397764,0.11886037413488906
JAX,2023,0.2172409208895932,0.07531018590839231,0.08399982274397604
JAX,2024,0.16011597811339146,0.0554247616546355,0.05234560822937798
