player_name,team,pos,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds
Jimmy Holiday,KC,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Nikko Remigio,KC,WR,0,0,0.6667,11,5,,,,14.3333,,0,0.5233,0.25,,2.6757
Omari Evans,KC,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Rashee Rice,KC,WR,0.235,0.045,0.7113,3,7.9456,,,,4.8981,,0.0884,1.7132,0.2292,,3.7547
Tyquan Thornton,KC,WR,0.09,0,0.4148,11.167,4.097,,,,26.2752,,0.6174,-2.0793,0.0758,,3.2387
Xavier Worthy,KC,WR,0.165,0.045,0.5984,6.1984,6.3139,,,,10.9237,,0.2094,0.5858,0.3045,,3.813
Jake Briningstool,KC,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Jared Wiley,KC,TE,0,0,1,4.2,5.5,,,,0,,0,-1.5356,0,,3
John Michael Gyllenborg,KC,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Noah Gray,KC,TE,0.06,0,0.7316,-4,5.216,,,,6.0322,,0.073,-0.0512,0.2253,,3.6858
Travis Kelce,KC,TE,0.15,0,0.6933,1,4.1172,,,,6.9594,,0.0826,-0.3876,0.1625,,3.2759
Matthew Caldwell,LA,QB,0,0,,,,0,0.06,0.05,,8,,,,2.7,
Matthew Stafford,LA,QB,0,0.01,,,,0.5265,0.0398,0.02,,8.2189,,,,2.7846,
Stetson Bennett,LA,QB,0,0,,,,0,0.06,0.05,,8,,,,2.7,
Ty Simpson,LA,QB,0,0,,,,0,0.06,0.05,,8,,,,2.7,
Blake Corum,LA,RB,0.045,0.41,0.7976,4.4451,7.0769,,,,0.7798,,0,-0.1963,0.2692,,3.2
Dean Connors,LA,RB,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
Jordan Waters,LA,RB,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
Kyren Williams,LA,RB,0.085,0.525,0.8045,4.5889,5.3333,,,,1.2404,,0.0172,-0.6655,0.1173,,3.2
Ronnie Rivers,LA,RB,0.01,0.04,0.9,5.1597,9.875,,,,-5.4,,0,-0.6934,0.25,,3.2
Alex Bachman,LA,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Brennan Presley,LA,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
CJ Daniels,LA,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Davante Adams,LA,WR,0.23,0,0.5795,-0.333,3.5057,,,,10.2822,,0.1575,-0.1462,0.1463,,2.741
Jordan Whittington,LA,WR,0.06,0,0.7657,4.8333,6.8705,,,,5.8116,,0.1167,0.7952,0.2574,,4.2807
Konata Mumpfield,LA,WR,0.03,0,0.475,4,2.3889,,,,12.2472,,0.1472,-1.1383,0.0556,,1.6017
Puka Nacua,LA,WR,0.29,0.015,0.7574,8.7667,5.9697,,,,8.9133,,0.1223,0.8481,0.2432,,3.0325
Tutu Atwell,LA,WR,0,0,0.5879,4.235,3.542,,,,13.624,,0.2363,-1.1796,0.1321,,2.933
Xavier Smith,LA,WR,0.045,0,0.8182,9,4.5152,,,,14.4697,,0.303,-1.4442,0.1894,,4.5239
Colby Parkinson,LA,TE,0.04,0,0.7156,4,6.0213,,,,4.5912,,0.024,0.9231,0.2462,,3.5391
Dan Villari,LA,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Davis Allen,LA,TE,0.04,0,0.6103,4,4.7979,,,,4.0857,,0.0238,0.7753,0.125,,4.4614
Max Klare,LA,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Terrance Ferguson,LA,TE,0.08,0,0.4,0,3.7857,,,,17.425,,0.4417,-0.5484,0.2143,,1.414
Tyler Higbee,LA,TE,0.045,0,0.6554,4,7.0303,,,,0.2054,,0.0486,1.8375,0.2939,,3.2241
DJ Uiagalelei,LAC,QB,0,0,,,,0,0.06,0.05,,8,,,,2.7,
Justin Herbert,LAC,QB,0,0.01,,,,1.9431,0.0722,0.045,,8.1569,,,,2.9045,
Trey Lance,LAC,QB,0,0.08,,,,3.3811,0.0906,0,,7.4631,,,,2.5253,
Alec Ingold,LAC,RB,0.01,0.02,0.7857,2.3889,6.9167,,,,2.2262,,0,0.4482,0.2778,,3.2
Amar Johnson,LAC,RB,0,0,0,4,6.5,,,,-2,,0,0,0.15,,3.2
Gregory Desrosiers,LAC,RB,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
Keaton Mitchell,LAC,RB,0.1,0.16,0.7917,5.3362,12.5714,,,,-2.6042,,0,3.4047,0.2857,,3.2
Kimani Vidal,LAC,RB,0.03,0.22,0.6906,3.6539,12.2372,,,,1.0823,,0.0208,4.3934,0.4231,,3.2
Omarion Hampton,LAC,RB,0.085,0.56,0.873,4.4418,7.0546,,,,-1.196,,0,-0.8816,0.1324,,3.2
Scott Matlock,LAC,RB,0,0,0.875,4.2,4.3571,,,,0.875,,0,-1.3735,0.1429,,3.2
Brenen Thompson,LAC,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
