game_id,team,plays,rushing_yards,passing_yards,total_yards,points
2016_01_CLE_PHI,CLE,50,120,168,288,10
2016_01_CLE_PHI,PHI,73,133,270,403,29
2016_01_DET_IND,DET,63,117,332,449,39
2016_01_DET_IND,IND,68,82,368,450,35
2016_01_GB_JAX,GB,58,96,199,295,27
2016_01_GB_JAX,JAX,67,49,300,349,23
2016_01_LA_SF,LA,59,66,120,186,0
2016_01_LA_SF,SF,76,151,170,321,28
2016_01_MIA_SEA,MIA,54,64,150,214,10
2016_01_MIA_SEA,SEA,78,112,240,352,12
2016_01_MIN_TEN,MIN,60,66,236,302,25
2016_01_MIN_TEN,TEN,65,64,252,316,16
2016_01_NE_ARI,ARI,59,92,252,344,21
2016_01_NE_ARI,NE,65,107,257,364,23
2016_01_NYG_DAL,DAL,73,101,227,328,19
2016_01_NYG_DAL,NYG,54,113,203,316,20
2016_01_OAK_NO,NO,63,88,419,507,34
2016_01_PIT_WAS,PIT,67,149,290,439,38
2016_01_PIT_WAS,WAS,55,55,329,384,16
2016_01_SD_KC,KC,70,83,330,413,33
2016_01_TB_ATL,ATL,63,53,322,375,24
2016_01_TB_ATL,TB,58,94,281,375,31
2016_02_ATL_OAK,ATL,64,139,389,528,35
2016_02_BAL_CLE,BAL,71,80,302,382,25
2016_02_BAL_CLE,CLE,59,145,242,387,20
2016_02_CIN_PIT,CIN,73,46,366,412,16
2016_02_CIN_PIT,PIT,74,124,250,374,24
2016_02_DAL_WAS,DAL,64,102,278,380,27
2016_02_DAL_WAS,WAS,64,82,350,432,23
2016_02_GB_MIN,GB,64,83,180,263,14
2016_02_GB_MIN,MIN,56,33,254,287,17
2016_02_IND_DEN,DEN,65,134,266,400,34
2016_02_IND_DEN,IND,65,84,170,254,20
2016_02_JAX_SD,JAX,63,69,319,388,14
